Latin America & Caribbean,LCN,"Adjusted net enrolment rate, primary, gender parity index (GPI)",UIS.NERA.1.GPI,0.989170015,0.988759995,0.989289999,0.990100026,0.99089998,0.99168998,0.992150009,0.991819978,0.99180001,0.991339982,0.991490006,0.993879974,0.994379997,0.995310009,0.995090008,0.996209979,0.99526,0.996959984,0.998090029,0.999670029,1.001109958,1.001799941,0.99950999,0.99950999,0.999870002,0.99980998,0.995540023,0.991819978,0.998350024,0.998520017,0.999130011,0.994379997,0.989000022,0.985520005,0.992999971,1.008859992,1.010020018,1.009439945,0.999930024,1.005759954,1.003890038,1.001250029,1.00951004,1.002140045,1.00466001,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (excluding high income),LAC,"Adjusted net enrolment rate, primary, gender parity index (GPI)",UIS.NERA.1.GPI,0.988449991,0.988030016,0.98864001,0.989480019,0.990429997,0.991270006,0.991680026,0.99138999,0.991320014,0.99071002,0.990620017,0.992869973,0.993340015,0.994300008,0.994369984,0.99545002,0.994579971,0.996569991,0.997900009,0.99950999,1.000849962,1.00177002,0.999859989,0.999899983,1.000360012,1.000370026,0.99594003,0.991639972,0.998470008,0.99842,0.999000013,0.994099975,0.988510013,0.985140026,0.992449999,1.009140015,1.010429978,1.009809971,0.999949992,1.005910039,1.003810048,1.001060009,1.009629965,1.001999974,1.004639983,,,,,,,,,,,,,,,,,,,,
Least developed countries: UN classification,LDC,"Adjusted net enrolment rate, primary, gender parity index (GPI)",UIS.NERA.1.GPI,0.56437999,0.519309998,0.563939989,0.606630027,0.618489981,0.666050017,0.695959985,0.694400012,0.703849971,0.722010016,0.741930008,0.745169997,0.73356998,0.727199972,0.750479996,0.745880008,0.75158,0.751550019,0.783940017,0.791760027,0.798300028,0.814599991,0.825940013,0.833320022,0.841899991,0.842320025,0.84197998,0.847920001,0.856400013,0.869520009,0.877279997,0.884630024,0.900099993,0.906579971,0.921379983,0.924679995,0.936460018,0.940569997,0.93611002,0.949180007,0.943369985,0.94115001,0.948189974,0.949119985,0.951439977,,,,,,,,,,,,,,,,,,,,
Low & middle income,LMY,"Adjusted net enrolment rate, primary, gender parity index (GPI)",UIS.NERA.1.GPI,0.753090024,0.745480001,0.756659985,0.791040003,0.803950012,0.82277,0.826659977,0.81171,0.785149992,0.782100022,0.790799975,0.800610006,0.805649996,0.810490012,0.81904,0.835799992,0.853579998,0.862179995,0.873160005,0.87905997,0.87857002,0.882629991,0.884010017,0.891839981,0.899039984,0.901440024,0.90666002,0.910549998,0.914200008,0.922169983,0.927829981,0.931649983,0.935909986,0.958220005,0.966210008,0.964699984,0.968800008,0.968760014,0.974870026,0.981260002,0.981280029,0.984459996,0.982270002,0.982079983,0.980949998,,,,,,,,,,,,,,,,,,,,
Low income,LIC,"Adjusted net enrolment rate, primary, gender parity index (GPI)",UIS.NERA.1.GPI,,,,0.613740027,0.631190002,0.658869982,0.684650004,0.705969989,0.719399989,0.732990026,0.751209974,0.740840018,0.735040009,0.741119981,0.741159976,0.737089992,0.743480027,0.73834002,0.749059975,0.758319974,0.760399997,0.780439973,0.788010001,0.793929994,0.803179979,0.801500022,0.797529995,0.808459997,0.820349991,0.838699996,0.844430029,0.851209998,0.870609999,0.880370021,0.894389987,0.897270024,0.911719978,0.914680004,0.920620024,0.928290009,0.930920005,0.93305999,0.93769002,0.938769996,0.942920029,,,,,,,,,,,,,,,,,,,,
Lower middle income,LMC,"Adjusted net enrolment rate, primary, gender parity index (GPI)",UIS.NERA.1.GPI,0.722039998,0.711910009,0.717869997,0.733389974,0.728730023,0.747340024,0.751789987,0.759609997,0.748109996,0.75158,0.761349976,0.773079991,0.785860002,0.793739974,0.80242002,0.801789999,0.80734998,0.79904002,0.810190022,0.82306999,0.819360018,0.823580027,0.827459991,0.841009974,0.852940023,0.852840006,0.859239995,0.86243999,0.862609982,0.873539984,0.885770023,0.896830022,0.905019999,0.951430023,0.96280998,0.956539989,0.961470008,0.962369978,0.975199997,0.984860003,0.985629976,0.993499994,0.987020016,0.987779975,0.984350026,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MEA,"Adjusted net enrolment rate, primary, gender parity index (GPI)",UIS.NERA.1.GPI,0.602829993,0.601840019,0.630500019,0.646589994,0.654020011,0.691009998,0.710389972,0.727609992,0.740480006,0.730799973,0.762399971,0.760630012,0.780799985,0.792659998,0.804250002,0.81546998,0.827740014,0.837230027,0.850409985,0.85611999,0.865629971,0.877960026,0.859109998,0.867349982,0.88538003,0.876470029,0.898329973,0.897319973,0.906080008,0.916230023,0.922800004,0.9278,0.934490025,0.941389978,0.942969978,0.946219981,0.948520005,0.956879973,0.959200025,0.960759997,0.964680016,0.963940024,0.966520011,0.970969975,0.971939981,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa (excluding high income),MNA,"Adjusted net enrolment rate, primary, gender parity index (GPI)",UIS.NERA.1.GPI,0.59434998,0.593490005,0.623300016,0.640290022,0.648479998,0.688210011,0.708720028,0.727069974,0.741190016,0.730910003,0.763570011,0.76078999,0.78144002,0.792900026,0.80418998,0.815050006,0.826820016,0.836560011,0.850090027,0.855539978,0.865040004,0.877910018,0.856630027,0.864400029,0.883159995,0.872250021,0.895399988,0.89297998,0.901730001,0.912050009,0.918820024,0.923860013,0.93107003,0.938369989,0.940020025,0.943570018,0.945789993,0.955070019,0.956780016,0.956849992,0.959179997,0.957859993,0.96006,0.968900025,0.970719993,,,,,,,,,,,,,,,,,,,,
Middle income,MIC,"Adjusted net enrolment rate, primary, gender parity index (GPI)",UIS.NERA.1.GPI,0.764530003,0.756039977,0.76564002,0.80092001,0.813690007,0.832199991,0.835160017,0.818319976,0.789629996,0.78569001,0.793910027,0.805119991,0.810909986,0.815800011,0.825010002,0.843270004,0.861999989,0.87173003,0.882910013,0.888620019,0.887950003,0.891120017,0.892050028,0.900099993,0.907350004,0.910420001,0.916499972,0.920270026,0.923600018,0.930949986,0.937070012,0.94125998,0.94461,0.968959987,0.976480007,0.974889994,0.97803998,0.977909982,0.984440029,0.990970016,0.990800023,0.994440019,0.991280019,0.990980029,0.98901999,,,,,,,,,,,,,,,,,,,,
North America,NAC,"Adjusted net enrolment rate, primary, gender parity index (GPI)",UIS.NERA.1.GPI,,,,,,,,,,,,,,,,1.025400043,1.020210028,1.020359993,1.01801002,1.013489962,1.011459947,1.003769994,1.002699971,0.998690009,1.00504005,1.001440048,1.00462997,1.004959941,1.00485003,1.005169988,1.002230048,1.013659954,1.015329957,1.012850046,1.014690042,1.015450001,1.019690037,1.013440013,1.009719968,1.020699978,1.007290006,1.015009999,1.000100017,0.997309983,1.00782001,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Adjusted net enrolment rate, primary, gender parity index (GPI)",UIS.NERA.1.GPI,,1.009140015,1.009850025,1.008209944,1.007859945,1.007830024,1.007380009,1.006229997,1.003659964,1.00375998,0.996670008,0.995850027,0.995599985,0.997420013,1.001479983,1.001070023,1.000149965,1.000010014,1.000499964,0.999440014,1.000169992,0.998260021,0.99804002,0.995019972,0.995090008,0.994400024,0.995079994,0.995949984,0.996399999,0.997759998,0.998529971,1.00188005,1.002230048,1.001600027,1.002599955,1.002320051,1.003900051,1.003309965,1.001680017,1.005579948,1.002169967,1.004959941,1.000990033,1.000210047,1.003229976,,,,,,,,,,,,,,,,,,,,
South Asia,SAS,"Adjusted net enrolment rate, primary, gender parity index (GPI)",UIS.NERA.1.GPI,0.608709991,0.589749992,0.605430007,0.640569985,0.633859992,0.649479985,0.651859999,0.662639976,0.628690004,0.629289985,0.642019987,0.652830005,0.648909986,0.662339985,0.684449971,0.682410002,0.700049996,0.681379974,0.705060005,0.733780026,0.732309997,0.739000022,0.751049995,0.773989975,0.792379975,0.798070014,0.804579973,0.808319986,0.802349985,0.813939989,0.834020019,0.847060025,0.862429976,0.945169985,0.947860003,0.951659977,0.960500002,0.966690004,0.985220015,1.001489997,0.993910015,1.00048995,0.99180001,0.991330028,0.988629997,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,SSF,"Adjusted net enrolment rate, primary, gender parity index (GPI)",UIS.NERA.1.GPI,,,,,,0.771269977,0.780369997,0.799629986,0.818849981,0.836510003,0.847790003,0.858129978,0.869449973,0.868610024,0.865819991,0.85957998,0.852980018,0.846520007,0.846350014,0.841440022,0.842429996,0.851480007,0.856490016,0.861590028,0.863030016,0.856270015,0.844669998,0.856230021,0.867389977,0.883019984,0.886229992,0.89447999,0.897930026,0.90516001,0.915780008,0.921639979,0.932099998,0.919139981,0.929170012,0.935159981,0.939549983,0.940859973,0.946829975,0.947960019,0.949419975,,,,,,,,,,,,,,,,,,,,
